"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","664","Gordon County","0286","Gordon Central High School","All Students","Mathematics",1670497,26810,"72","39",20.4,20.2,18.7,18.5
"2019-20","667","Gwinnett County","4556","North Gwinnett High School","All Students","Composite",1670497,26811,"2785","239",20.6,20.8,22.5,25.4
"2019-20","658","Forsyth County","0190","South Forsyth High School","All Students","Composite",1670497,26811,"1074","257",20.6,20.8,24.6,25.9
"2019-20","658","Forsyth County","0190","South Forsyth High School","All Students","Reading",1670497,26810,"1074","257",21.2,21.6,25.4,26.8
"2019-20","605","Baldwin County","0189","Baldwin High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","605","Baldwin County","0189","Baldwin High School","All Students","English",1670497,26811,"41","41",19.7,20.2,13.8,13.8
"2019-20","608","Bartow County","0105","Adairsville High School","All Students","Mathematics",1670497,26810,"181","40",20.4,20.2,19.1,19.3
"2019-20","741","Troup County","0387","Troup County High School","All Students","Writing Subscore",678906,5089,"21","14",6.4,6.8,6.1,6.3
"2019-20","741","Troup County","0387","Troup County High School","All Students","Science",1670497,26810,"191","70",20.6,20.8,19.9,20.4
"2019-20","761","Atlanta Public Schools","0186","Maynard H. Jackson, Jr. High School","All Students","Reading",1670497,26810,"923","70",21.2,21.6,19.8,21.7
"2019-20","755","Whitfield County","0112","Coahulla Creek High School","All Students","Writing Subscore",678906,5089,"38","24",6.4,6.8,6.7,6.5
"2019-20","755","Whitfield County","0112","Coahulla Creek High School","All Students","Science",1670497,26810,"218","95",20.6,20.8,19.9,19.2
"2019-20","771","Commerce City","0112","Commerce High School","All Students","Composite",1670497,26811,"18","18",20.6,20.8,20.6,20.6
"2019-20","631","Clayton County","1054","Forest Park High School","All Students","English",1670497,26811,"760","70",19.7,20.2,16.4,15.4
"2019-20","633","Cobb County","0209","Allatoona High School","All Students","Mathematics",1670497,26810,"2143","93",20.4,20.2,21.7,21.6
